0.010000	-2.720410	1.954584	-13.244308	0.122418	-0.087956	0.065807	0.021509	0.009511	-0.094692	0.000000	0.000000	0.000000	
0.020000	-2.611883	2.497051	-18.289063	0.117535	-0.112367	0.174644	0.021509	0.009300	-0.131047	0.000000	0.000000	0.000000	
0.030000	-2.529579	2.966957	-22.114880	0.113831	-0.133513	0.248309	0.021509	0.008666	-0.158736	0.000000	0.000000	0.000000	
0.040000	-2.502228	3.226499	-24.355877	0.112600	-0.145192	0.273328	0.021690	0.007821	-0.175011	0.000000	0.000000	0.000000	
0.050000	-2.490269	3.207186	-24.907135	0.112062	-0.144323	0.247280	0.021690	0.006975	-0.179027	0.000000	0.000000	0.000000	
0.060000	-2.502868	3.162306	-24.326357	0.112629	-0.142304	0.196805	0.021690	0.007398	-0.174800	0.000000	0.000000	0.000000	
0.070000	-2.526808	3.207822	-23.222832	0.113706	-0.144352	0.150061	0.021690	0.009089	-0.166768	0.000000	0.000000	0.000000	
0.080000	-2.532012	3.302653	-22.001791	0.113941	-0.148619	0.125194	0.021509	0.011202	-0.157891	0.000000	0.000000	0.000000	
0.090000	-2.579147	3.442262	-20.810154	0.116062	-0.154902	0.127903	0.021690	0.013527	-0.149225	0.000000	0.000000	0.000000	
0.100000	-2.602489	3.608831	-19.734165	0.117112	-0.162397	0.160359	0.021690	0.015852	-0.141404	0.000000	0.000000	0.000000	
0.110000	-2.626487	3.750395	-18.627934	0.118192	-0.168768	0.213542	0.021690	0.017966	-0.133372	0.000000	0.000000	0.000000	
0.120000	-2.632850	3.816148	-17.314434	0.118478	-0.171727	0.276360	0.021509	0.019657	-0.123861	0.000000	0.000000	0.000000	
0.130000	-2.694936	3.834795	-15.472708	0.121272	-0.172566	0.330670	0.021690	0.021348	-0.110545	0.000000	0.000000	0.000000	
0.140000	-2.729262	3.743884	-12.832810	0.122817	-0.168475	0.360159	0.021509	0.022616	-0.091522	0.000000	0.000000	0.000000	
0.150000	-2.808962	3.600824	-9.128053	0.126403	-0.162037	0.348326	0.021509	0.023673	-0.064889	0.000000	0.000000	0.000000	
0.160000	-2.911661	3.490496	-4.354176	0.131025	-0.157072	0.290277	0.021509	0.024518	-0.030648	0.000000	0.000000	0.000000	
